"Folder","path","Name","SizeKB","SizeMB"
"Clerk","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Clerk\Agenda Item-ACCEPTANCE OF GRANTS OF ROW AND EASEMENTS FOR HOPE AVENUE AND BOGIE DRIVE.docx","Agenda Item-ACCEPTANCE OF GRANTS OF ROW AND EASEMENTS FOR HOPE AVENUE AND BOGIE DRIVE.docx","39.03","0.04"
"Clerk","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Clerk\Agenda Item-SPOKANE STREET AND PRAIRIE AVENUE PROJECT CONSULTANT PROFESSIONAL SERVICES AGREEMENT AUTHORIZATION FOR ADDITIONAL SERVICES.docx","Agenda Item-SPOKANE STREET AND PRAIRIE AVENUE PROJECT CONSULTANT PROFESSIONAL SERVICES AGREEMENT AUTHORIZATION FOR ADDITIONAL SERVICES.docx","40.2","0.04"
"Clerk","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Clerk\Agenda Item-Temporary Construction Easement for the Ponderosa Lift Station Replacement Project.docx","Agenda Item-Temporary Construction Easement for the Ponderosa Lift Station Replacement Project.docx","39.06","0.04"
"Clerk","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Clerk\Agenda Item-TULLAMORE 9TH ADDITION SUBDIVISION PLAT APPLICATION.docx","Agenda Item-TULLAMORE 9TH ADDITION SUBDIVISION PLAT APPLICATION.docx","38.83","0.04"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\USBank.jpg","USBank.jpg","6.96","0.01"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\USBanklogo.png","USBanklogo.png","6.2","0.01"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\USBankLogo_60.png","USBankLogo_60.png","1.34","0"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\USBank_60.jpg","USBank_60.jpg","1.49","0"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\USBank_60.png","USBank_60.png","3.51","0"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\WellsFargo.png","WellsFargo.png","7.07","0.01"
"Misc Logos","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Misc Logos\WellsFargo_60.png","WellsFargo_60.png","1.52","0"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Blood Drive (Medium).png","Blood Drive (Medium).png","617.02","0.6"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Blood Drive.pdf","Blood Drive.pdf","194.65","0.19"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Blood Drive.png","Blood Drive.png","1145.74","1.12"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\image_133962701.webp","image_133962701.webp","166.6","0.16"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\June Events ORIG.pdf","June Events ORIG.pdf","1212.07","1.18"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\June Events.pdf","June Events.pdf","310.67","0.3"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Movie Night in the Park (Medium).png","Movie Night in the Park (Medium).png","473.29","0.46"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Movie Night in the Park (Small).png","Movie Night in the Park (Small).png","236.87","0.23"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Movie Night in the Park ORIG.pdf","Movie Night in the Park ORIG.pdf","3764.33","3.68"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Movie Night in the Park.pdf","Movie Night in the Park.pdf","448.56","0.44"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Movie Night in the Park.png","Movie Night in the Park.png","1208.89","1.18"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Spokane Indians 480.png","Spokane Indians 480.png","543.72","0.53"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Spokane Indians.png","Spokane Indians.png","2120.97","2.07"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Spokane Indians768.png","Spokane Indians768.png","1264.44","1.23"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Trick or Treat at City Hall 2023-staff.png","Trick or Treat at City Hall 2023-staff.png","375.39","0.37"
"News Files","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\News Files\Trick or Treat at City Hall 2023.png","Trick or Treat at City Hall 2023.png","416.34","0.41"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\AAA_TEST_PDF.pdf","AAA_TEST_PDF.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\BigTestFiles - Shortcut.lnk","BigTestFiles - Shortcut.lnk","0.73","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Brave AmalinMGR.lnk","Brave AmalinMGR.lnk","1.75","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Lorem Ipsum.txt","Lorem Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Run through.txt","Run through.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_.eml","TEST_.eml","1.67","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel spreadsheet_TEST Attachment.xlsx","TEST_Excel spreadsheet_TEST Attachment.xlsx","9.15","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel Test Document please IGNORE.xlsx","TEST_Excel Test Document please IGNORE.xlsx","15.68","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Excel Test Document please IGNORE2.xlsx","TEST_Excel Test Document please IGNORE2.xlsx","23.37","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_JPEG Attachment Larger.jpg","TEST_JPEG Attachment Larger.jpg","315.32","0.31"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_JPEG Attachment.jpg","TEST_JPEG Attachment.jpg","12.55","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_new.txt","TEST_new.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_1.pdf","TEST_PDF_1.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_2.pdf","TEST_PDF_2.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\Test_PDF_3.pdf","Test_PDF_3.pdf","46.49","0.05"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_PDF_Attachment.pdf","TEST_PDF_Attachment.pdf","82.56","0.08"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text.txt","TEST_Text.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_1.txt","TEST_Text_1.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_2.txt","TEST_Text_2.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_Attachment.txt","TEST_Text_Attachment.txt","0.14","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_Foo.txt","TEST_Text_Foo.txt","0.2","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Text_New.txt","TEST_Text_New.txt","0.15","0"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Word Attachment.docx","TEST_Word Attachment.docx","18.96","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\TEST_Word Signature.docx","TEST_Word Signature.docx","18.92","0.02"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"Test Attachments","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
"2nd level folder","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\TEST_Lorem_Ipsum.txt","TEST_Lorem_Ipsum.txt","5.57","0.01"
"2nd level folder","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
"Third one","C:\Users\amalin\OneDrive - City of Post Falls\Documents\sharepoint\Misc. Content\Test Attachments\2nd level folder\Third one\File for third.txt","File for third.txt","0.02","0"
